status,year,authors,title,subfield,journal_canonical,journal_tier,in_paper,paper_filename,in_zotero,zotero_key,zotero_collection,norm_key
in_both,2024,"Breuer, Dehaan",Using and Interpreting Fixed Effects Models,unknown,Journal of Accounting Research,top_acct,True,"2024 - Breuer, Dehaan - Journal of Accounting Research - Using and Interpreting Fixed Effects Models.pdf",True,469QMYS3,integrity_propaganda_audit+english,2024::using and interpreting fixed effects models
in_both,2024,Chen,When Employees Go to Court Employee Lawsuits and Talent Acquisition in Audit Offices 3,audit,Journal of Accounting Research,top_acct,True,2024 - Chen - Journal of Accounting Research - When Employees Go to Court Employee Lawsuits and Talent Acquisition in Audit Offices 3.pdf,True,M6IXA2CP,audit_write_stage1_candidates,2024::when employees go to court employee lawsuits and talent acquisition in audit offices
in_both,2024,"Choy, Jiang, Liao, Wang",Public Environmental Enforcement and Private Lender Monitoring Evidence from Environmental Covenant,debt_capital_structure,Journal of Accounting and Economics,top_acct,True,"2024 - Choy, Jiang, Liao, Wang - Journal of Accounting and Economics - Public Environmental Enforcement and Private Lender Monitoring Evidence from Environmental Covenant.pdf",True,M2L2YCMK,english,2024::public environmental enforcement and private lender monitoring evidence from environmental covenant
in_both,2024,"De Franco, Guan, Zhou, Zhu",The Impact of Credit Market Development on Auditor Choice Evidence from Banking Deregulation,audit,Journal of Accounting Research,top_acct,True,"2024 - De Franco, Guan, Zhou, Zhu - Journal of Accounting Research - The Impact of Credit Market Development on Auditor Choice Evidence from Banking Deregulation.pdf",True,N9D3GQPU,audit_write_stage1_candidates,2024::the impact of credit market development on auditor choice evidence from banking deregulation
in_both,2024,"Ege, Kim, Wang",Auditor Distraction The Case of Outside Job Opportunities for External Auditors and Audit Quality,audit,Contemporary Accounting Research,top_acct,True,"2024 - Ege, Kim, Wang - Contemporary Accounting Research - Auditor Distraction The Case of Outside Job Opportunities for External Auditors and Audit Quality.pdf",True,5NHR9TV8,audit_write_stage1_candidates,2024::auditor distraction the case of outside job opportunities for external auditors and audit quality
in_both,2024,"Frost, Jing, Shang, Su",Foreign Labor and Audit Quality Evidence from Newly Hired H‐,audit,Contemporary Accounting Research,top_acct,True,"2024 - Frost, Jing, Shang, Su - Contemporary Accounting Research - Foreign Labor and Audit Quality Evidence from Newly Hired H‐.pdf",True,4KRII8PU,audit_write_stage1_candidates,2024::foreign labor and audit quality evidence from newly hired h
in_both,2024,"Heflin, Tan, Ton, Wang",Does auditor style influence non‐GAAP earnings disclos,audit,Contemporary Accounting Research,top_acct,True,"2024 - Heflin, Tan, Ton, Wang - Contemporary Accounting Research - Does auditor style influence non‐GAAP earnings disclos.pdf",True,FF7CUPGJ,audit_write_stage1_candidates,2024::does auditor style influence non gaap earnings disclos
in_both,2024,"Krueger, Sautner, Tang, Zhong",The Effects of Mandatory ESG Disclosure Around the World,disclosure,Journal of Accounting Research,top_acct,True,"2024 - Krueger, Sautner, Tang, Zhong - Journal of Accounting Research - The Effects of Mandatory ESG Disclosure Around the World.pdf",True,Z9VE9MEZ,english,2024::the effects of mandatory esg disclosure around the world
in_both,2024,"Lins, Roth, Servaes, Tamayo","Sexism, Culture, and Firm Value Evidence from the Harvey Weinstein Scandal and the #MeToo Movement",unknown,Journal of Accounting Research,top_acct,True,"2024 - Lins, Roth, Servaes, Tamayo - Journal of Accounting Research - Sexism, Culture, and Firm Value Evidence from the Harvey Weinstein Scandal and the #MeToo Movement.pdf",True,ZGZ92GFY,integrity_propaganda_audit+english,2024::sexism culture and firm value evidence from the harvey weinstein scandal and the metoo movement
in_both,2024,Raghunandan,Government Subsidies and Corporate Misconduct,fraud_enforcement,unknown,unknown,True,2024 - Raghunandan - Government Subsidies and Corporate Misconduct.pdf,True,PH3E8UDW,integrity_propaganda_audit+english,2024::government subsidies and corporate misconduct
in_both,2023,"Aobdia, Choudhary, Newberger",The Economics of Audit Production What Matters for Audit Quality An Empirical Analysis of the Role,audit,The Accounting Review,top_acct,True,"2023 - Aobdia, Choudhary, Newberger - The Accounting Review - The Economics of Audit Production What Matters for Audit Quality An Empirical Analysis of the Role.pdf",True,XXNUE6UJ,audit_write_stage1_candidates,2023::the economics of audit production what matters for audit quality an empirical analysis of the role
in_both,2023,"Blann, Kleppe, Shipman",Did the PCAOB's 2009 Office Expansion Improve Audit Quality,audit,Contemporary Accounting Research,top_acct,True,"2023 - Blann, Kleppe, Shipman - Contemporary Accounting Research - Did the PCAOB's 2009 Office Expansion Improve Audit Quality.pdf",True,J6GDGFS4,audit_write_stage1_candidates,2023::did the pcaob s 2009 office expansion improve audit quality
