filename,ext,size_bytes,year,year_bucket,authors,journal_raw,journal_canonical,journal_tier,title,subfield,pattern,parse_ok,norm_key,path
"2013 - Libby, Brown - The Accounting Review - Financial Statement Disaggregation Decisions and Auditors' Tolerance for Misstatement.pdf",pdf,3804104,2013,2010_2014,"Libby, Brown",The Accounting Review,The Accounting Review,top_acct,Financial Statement Disaggregation Decisions and Auditors' Tolerance for Misstatement,audit,A,True,2013::financial statement disaggregation decisions and auditors tolerance for misstatement,"d:\OneDrive\tools\paper\2013 - Libby, Brown - The Accounting Review - Financial Statement Disaggregation Decisions and Auditors' Tolerance for Misstatement.pdf"
"2013 - Libby, Brown - The Accounting Review - Financial Statement Disaggregation Decisions and Auditors' Tolerance for Misstatement.txt",txt,100963,2013,2010_2014,"Libby, Brown",The Accounting Review,The Accounting Review,top_acct,Financial Statement Disaggregation Decisions and Auditors' Tolerance for Misstatement,audit,A,True,2013::financial statement disaggregation decisions and auditors tolerance for misstatement,"d:\OneDrive\tools\paper\2013 - Libby, Brown - The Accounting Review - Financial Statement Disaggregation Decisions and Auditors' Tolerance for Misstatement.txt"
"2013 - Lobo, Zhao - The Accounting Review - Relation between audit effort and financial report misstatements Evidence from quarterly and annual.pdf",pdf,595928,2013,2010_2014,"Lobo, Zhao",The Accounting Review,The Accounting Review,top_acct,Relation between audit effort and financial report misstatements Evidence from quarterly and annual,audit,A,True,2013::relation between audit effort and financial report misstatements evidence from quarterly and annual,"d:\OneDrive\tools\paper\2013 - Lobo, Zhao - The Accounting Review - Relation between audit effort and financial report misstatements Evidence from quarterly and annual.pdf"
2013 - Madsen - The Accounting Review - The integration of women and minorities into the auditing profession since the civil rights period.txt,txt,145178,2013,2010_2014,Madsen,The Accounting Review,The Accounting Review,top_acct,The integration of women and minorities into the auditing profession since the civil rights period,audit,A,True,2013::the integration of women and minorities into the auditing profession since the civil rights period,d:\OneDrive\tools\paper\2013 - Madsen - The Accounting Review - The integration of women and minorities into the auditing profession since the civil rights period.txt
2013 - Manso - Journal of Financial Economics - Feedback Effects of Credit Ratings.pdf,pdf,772116,2013,2010_2014,Manso,Journal of Financial Economics,Journal of Financial Economics,top_fin,Feedback Effects of Credit Ratings,credit_ratings,A,True,2013::feedback effects of credit ratings,d:\OneDrive\tools\paper\2013 - Manso - Journal of Financial Economics - Feedback Effects of Credit Ratings.pdf
"2013 - Markelevich, Rosner - Contemporary Accounting Research - Auditor Fees and Fraud Firms.pdf",pdf,234258,2013,2010_2014,"Markelevich, Rosner",Contemporary Accounting Research,Contemporary Accounting Research,top_acct,Auditor Fees and Fraud Firms,audit,A,True,2013::auditor fees and fraud firms,"d:\OneDrive\tools\paper\2013 - Markelevich, Rosner - Contemporary Accounting Research - Auditor Fees and Fraud Firms.pdf"
"2013 - Mayew, Sharp, Venkatachalam - Review of Accounting Studies - Using Earnings Conference Calls to Identify Analysts with Superior Private Information.txt",txt,104434,2013,2010_2014,"Mayew, Sharp, Venkatachalam",Review of Accounting Studies,Review of Accounting Studies,top_acct,Using Earnings Conference Calls to Identify Analysts with Superior Private Information,disclosure,A,True,2013::using earnings conference calls to identify analysts with superior private information,"d:\OneDrive\tools\paper\2013 - Mayew, Sharp, Venkatachalam - Review of Accounting Studies - Using Earnings Conference Calls to Identify Analysts with Superior Private Information.txt"
2013 - Minutti-Meza - Journal of Accounting Research - Does Auditor Industry Specialization Improve Audit Quality Does Auditor Industry Specialization Im.pdf,pdf,280654,2013,2010_2014,Minutti-Meza,Journal of Accounting Research,Journal of Accounting Research,top_acct,Does Auditor Industry Specialization Improve Audit Quality Does Auditor Industry Specialization Im,audit,A,True,2013::does auditor industry specialization improve audit quality does auditor industry specialization im,d:\OneDrive\tools\paper\2013 - Minutti-Meza - Journal of Accounting Research - Does Auditor Industry Specialization Improve Audit Quality Does Auditor Industry Specialization Im.pdf
"2013 - Rau, Xu - Journal of Accounting Research - How Do Ex Ante Severance Pay Contracts Fit into Optimal Executive Incentive Schemes.txt",txt,155298,2013,2010_2014,"Rau, Xu",Journal of Accounting Research,Journal of Accounting Research,top_acct,How Do Ex Ante Severance Pay Contracts Fit into Optimal Executive Incentive Schemes,governance_comp,A,True,2013::how do ex ante severance pay contracts fit into optimal executive incentive schemes,"d:\OneDrive\tools\paper\2013 - Rau, Xu - Journal of Accounting Research - How Do Ex Ante Severance Pay Contracts Fit into Optimal Executive Incentive Schemes.txt"
"2013 - Stieglitz, Dang-Xuan - Journal of Management Information Systems - Emotions and Information Diffusion in Social Media—Sentiment of Microblogs and Sharing Behavior.pdf",pdf,325893,2013,2010_2014,"Stieglitz, Dang-Xuan",Journal of Management Information Systems,Journal of Management Information Systems,other,Emotions and Information Diffusion in Social Media—Sentiment of Microblogs and Sharing Behavior,unknown,A,True,2013::emotions and information diffusion in social media sentiment of microblogs and sharing behavior,"d:\OneDrive\tools\paper\2013 - Stieglitz, Dang-Xuan - Journal of Management Information Systems - Emotions and Information Diffusion in Social Media—Sentiment of Microblogs and Sharing Behavior.pdf"
"2013 - Stieglitz, Dang-Xuan - Journal of Management Information Systems - Emotions and Information Diffusion in Social Media—Sentiment of Microblogs and Sharing Behavior.txt",txt,105164,2013,2010_2014,"Stieglitz, Dang-Xuan",Journal of Management Information Systems,Journal of Management Information Systems,other,Emotions and Information Diffusion in Social Media—Sentiment of Microblogs and Sharing Behavior,unknown,A,True,2013::emotions and information diffusion in social media sentiment of microblogs and sharing behavior,"d:\OneDrive\tools\paper\2013 - Stieglitz, Dang-Xuan - Journal of Management Information Systems - Emotions and Information Diffusion in Social Media—Sentiment of Microblogs and Sharing Behavior.txt"
"2013 - Strebulaev, Yang - Journal of Financial Economics - The Mystery of Zero-Leverage Firms.pdf",pdf,643100,2013,2010_2014,"Strebulaev, Yang",Journal of Financial Economics,Journal of Financial Economics,top_fin,The Mystery of Zero-Leverage Firms,debt_capital_structure,A,True,2013::the mystery of zero leverage firms,"d:\OneDrive\tools\paper\2013 - Strebulaev, Yang - Journal of Financial Economics - The Mystery of Zero-Leverage Firms.pdf"
"2013 - Tan - Journal of Accounting and Economics - Creditor Control Rights, State of Nature Verification, and Financial Reporting Conservatism.pdf",pdf,392507,2013,2010_2014,Tan,Journal of Accounting and Economics,Journal of Accounting and Economics,top_acct,"Creditor Control Rights, State of Nature Verification, and Financial Reporting Conservatism",debt_capital_structure,A,True,2013::creditor control rights state of nature verification and financial reporting conservatism,"d:\OneDrive\tools\paper\2013 - Tan - Journal of Accounting and Economics - Creditor Control Rights, State of Nature Verification, and Financial Reporting Conservatism.pdf"
2013 - White - Annual Review of Financial Economics - Credit Rating Agencies An Overview.pdf,pdf,651800,2013,2010_2014,White,Annual Review of Financial Economics,Annual Review of Financial Economics,other_fin,Credit Rating Agencies An Overview,credit_ratings,A,True,2013::credit rating agencies an overview,d:\OneDrive\tools\paper\2013 - White - Annual Review of Financial Economics - Credit Rating Agencies An Overview.pdf
2013 - Yim - Journal of Financial Economics - The Acquisitiveness of Youth Ceo Age and Acquisition Behavior.pdf,pdf,649787,2013,2010_2014,Yim,Journal of Financial Economics,Journal of Financial Economics,top_fin,The Acquisitiveness of Youth Ceo Age and Acquisition Behavior,governance_comp,A,True,2013::the acquisitiveness of youth ceo age and acquisition behavior,d:\OneDrive\tools\paper\2013 - Yim - Journal of Financial Economics - The Acquisitiveness of Youth Ceo Age and Acquisition Behavior.pdf
"2014 - Adelino, Dinc - Journal of Financial Economics - Corporate Distress and Lobbying Evidence from the Stimulus Act.pdf",pdf,637209,2014,2010_2014,"Adelino, Dinc",Journal of Financial Economics,Journal of Financial Economics,top_fin,Corporate Distress and Lobbying Evidence from the Stimulus Act,regulation_law,A,True,2014::corporate distress and lobbying evidence from the stimulus act,"d:\OneDrive\tools\paper\2014 - Adelino, Dinc - Journal of Financial Economics - Corporate Distress and Lobbying Evidence from the Stimulus Act.pdf"
"2014 - Adelino, Dinc - Journal of Financial Economics - Corporate Distress and Lobbying Evidence from the Stimulus Act.txt",txt,147466,2014,2010_2014,"Adelino, Dinc",Journal of Financial Economics,Journal of Financial Economics,top_fin,Corporate Distress and Lobbying Evidence from the Stimulus Act,regulation_law,A,True,2014::corporate distress and lobbying evidence from the stimulus act,"d:\OneDrive\tools\paper\2014 - Adelino, Dinc - Journal of Financial Economics - Corporate Distress and Lobbying Evidence from the Stimulus Act.txt"
