year,authors,journal_canonical,title,filename,path
2013,"Libby, Brown",The Accounting Review,Financial Statement Disaggregation Decisions and Auditors' Tolerance for Misstatement,"2013 - Libby, Brown - The Accounting Review - Financial Statement Disaggregation Decisions and Auditors' Tolerance for Misstatement.pdf","d:\OneDrive\tools\paper\2013 - Libby, Brown - The Accounting Review - Financial Statement Disaggregation Decisions and Auditors' Tolerance for Misstatement.pdf"
2013,"Lobo, Zhao",The Accounting Review,Relation between audit effort and financial report misstatements Evidence from quarterly and annual,"2013 - Lobo, Zhao - The Accounting Review - Relation between audit effort and financial report misstatements Evidence from quarterly and annual.pdf","d:\OneDrive\tools\paper\2013 - Lobo, Zhao - The Accounting Review - Relation between audit effort and financial report misstatements Evidence from quarterly and annual.pdf"
2013,"Markelevich, Rosner",Contemporary Accounting Research,Auditor Fees and Fraud Firms,"2013 - Markelevich, Rosner - Contemporary Accounting Research - Auditor Fees and Fraud Firms.pdf","d:\OneDrive\tools\paper\2013 - Markelevich, Rosner - Contemporary Accounting Research - Auditor Fees and Fraud Firms.pdf"
2013,Minutti-Meza,Journal of Accounting Research,Does Auditor Industry Specialization Improve Audit Quality Does Auditor Industry Specialization Im,2013 - Minutti-Meza - Journal of Accounting Research - Does Auditor Industry Specialization Improve Audit Quality Does Auditor Industry Specialization Im.pdf,d:\OneDrive\tools\paper\2013 - Minutti-Meza - Journal of Accounting Research - Does Auditor Industry Specialization Improve Audit Quality Does Auditor Industry Specialization Im.pdf
2014,"Badolato, Donelson, Ege",Journal of Accounting and Economics,Audit Committee Financial Expertise and Earnings Management The Role of Status,"2014 - Badolato, Donelson, Ege - Journal of Accounting and Economics - Audit Committee Financial Expertise and Earnings Management The Role of Status.pdf","d:\OneDrive\tools\paper\2014 - Badolato, Donelson, Ege - Journal of Accounting and Economics - Audit Committee Financial Expertise and Earnings Management The Role of Status.pdf"
2014,"Chakravarthy, deHaan, Rajgopal",The Accounting Review,Reputation Repair After a Serious Restatement,"2014 - Chakravarthy, deHaan, Rajgopal - The Accounting Review - Reputation Repair After a Serious Restatement.pdf","d:\OneDrive\tools\paper\2014 - Chakravarthy, deHaan, Rajgopal - The Accounting Review - Reputation Repair After a Serious Restatement.pdf"
2014,"Francis, Pinnuck, Watanabe",The Accounting Review,Auditor style and financial statement comparability,"2014 - Francis, Pinnuck, Watanabe - The Accounting Review - Auditor style and financial statement comparability.pdf","d:\OneDrive\tools\paper\2014 - Francis, Pinnuck, Watanabe - The Accounting Review - Auditor style and financial statement comparability.pdf"
2014,"Goodwin, Wu",Review of Accounting Studies,Is the Effect of Industry Expertise on Audit Pricing an Office-Level or a Partner-Level Phenomenon,"2014 - Goodwin, Wu - Review of Accounting Studies - Is the Effect of Industry Expertise on Audit Pricing an Office-Level or a Partner-Level Phenomenon.pdf","d:\OneDrive\tools\paper\2014 - Goodwin, Wu - Review of Accounting Studies - Is the Effect of Industry Expertise on Audit Pricing an Office-Level or a Partner-Level Phenomenon.pdf"
2014,"Lennox, Li",Journal of Accounting and Economics,Accounting Misstatements Following Lawsuits Against Auditors,"2014 - Lennox, Li - Journal of Accounting and Economics - Accounting Misstatements Following Lawsuits Against Auditors.pdf","d:\OneDrive\tools\paper\2014 - Lennox, Li - Journal of Accounting and Economics - Accounting Misstatements Following Lawsuits Against Auditors.pdf"
2015,"Aobdia, Lin, Petacchi",The Accounting Review,Capital Market Consequences of Audit Partner Quality,"2015 - Aobdia, Lin, Petacchi - The Accounting Review - Capital Market Consequences of Audit Partner Quality.pdf","d:\OneDrive\tools\paper\2015 - Aobdia, Lin, Petacchi - The Accounting Review - Capital Market Consequences of Audit Partner Quality.pdf"
2015,"Jayaraman, Milbourn",The Accounting Review,CEO Equity Incentives and Financial Misreporting The Role of Auditor Expertise,"2015 - Jayaraman, Milbourn - The Accounting Review - CEO Equity Incentives and Financial Misreporting The Role of Auditor Expertise.pdf","d:\OneDrive\tools\paper\2015 - Jayaraman, Milbourn - The Accounting Review - CEO Equity Incentives and Financial Misreporting The Role of Auditor Expertise.pdf"
2015,"Rice, Weber, Wu",The Accounting Review,Does SOX 404 have teeth Consequences of the failure to report existing internal control weaknesses,"2015 - Rice, Weber, Wu - The Accounting Review - Does SOX 404 have teeth Consequences of the failure to report existing internal control weaknesses.pdf","d:\OneDrive\tools\paper\2015 - Rice, Weber, Wu - The Accounting Review - Does SOX 404 have teeth Consequences of the failure to report existing internal control weaknesses.pdf"
2015,"Robert Knechel, Vanstraelen, Zerni",Contemporary Accounting Research,Does the Identity of Engagement Partners Matter An Analysis of Audit Partner Reporting Decisions,"2015 - Robert Knechel, Vanstraelen, Zerni - Contemporary Accounting Research - Does the Identity of Engagement Partners Matter An Analysis of Audit Partner Reporting Decisions.pdf","d:\OneDrive\tools\paper\2015 - Robert Knechel, Vanstraelen, Zerni - Contemporary Accounting Research - Does the Identity of Engagement Partners Matter An Analysis of Audit Partner Reporting Decisions.pdf"
2016,"Cai, Kim, Park, White",Journal of Accounting and Economics,Common auditors in M&A transactions,"2016 - Cai, Kim, Park, White - Journal of Accounting and Economics - Common auditors in M&A transactions.pdf","d:\OneDrive\tools\paper\2016 - Cai, Kim, Park, White - Journal of Accounting and Economics - Common auditors in M&A transactions.pdf"
2016,"Dhaliwal, Lamoreaux, Litov, Neyland",Journal of Accounting and Economics,Shared Auditors in Mergers and Acquisitions,"2016 - Dhaliwal, Lamoreaux, Litov, Neyland - Journal of Accounting and Economics - Shared Auditors in Mergers and Acquisitions.pdf","d:\OneDrive\tools\paper\2016 - Dhaliwal, Lamoreaux, Litov, Neyland - Journal of Accounting and Economics - Shared Auditors in Mergers and Acquisitions.pdf"
2016,"Kausar, Shroff, White",Journal of Accounting and Economics,Real Effects of the Audit Choice,"2016 - Kausar, Shroff, White - Journal of Accounting and Economics - Real Effects of the Audit Choice.pdf","d:\OneDrive\tools\paper\2016 - Kausar, Shroff, White - Journal of Accounting and Economics - Real Effects of the Audit Choice.pdf"
2016,"Newton, Persellin, Wang, Wilkins",The Accounting Review,Internal Control Opinion Shopping and Audit Market Competition,"2016 - Newton, Persellin, Wang, Wilkins - The Accounting Review - Internal Control Opinion Shopping and Audit Market Competition.pdf","d:\OneDrive\tools\paper\2016 - Newton, Persellin, Wang, Wilkins - The Accounting Review - Internal Control Opinion Shopping and Audit Market Competition.pdf"
2016,"Schroeder, Shepardson",The Accounting Review,Do SOX 404 Control Audits and Management Assessments Improve Overall Internal Control System Quality,"2016 - Schroeder, Shepardson - The Accounting Review - Do SOX 404 Control Audits and Management Assessments Improve Overall Internal Control System Quality.pdf","d:\OneDrive\tools\paper\2016 - Schroeder, Shepardson - The Accounting Review - Do SOX 404 Control Audits and Management Assessments Improve Overall Internal Control System Quality.pdf"
